External ID;Subsidiary;Date;Account;Debit;Credit;Memo;Class;Department;Location
Nomina_diciembre_5_2022;2;28/12/2022;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
Nomina_diciembre_5_2022;2;28/12/2022;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
Nomina_diciembre_5_2022;2;28/12/2022;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
Nomina_diciembre_5_2022;2;28/12/2022;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
Nomina_diciembre_5_2022;2;28/12/2022;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
Nomina_diciembre_5_2022;2;28/12/2022;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
Nomina_diciembre_5_2022;2;28/12/2022;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
Nomina_diciembre_5_2022;2;28/12/2022;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
Nomina_diciembre_5_2022;2;28/12/2022;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
Nomina_diciembre_5_2022;2;28/12/2022;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
Nomina_diciembre_5_2022;2;28/12/2022;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
Nomina_diciembre_5_2022;2;28/12/2022;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
Nomina_diciembre_5_2022;2;28/12/2022;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
Nomina_diciembre_5_2022;2;28/12/2022;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
Nomina_diciembre_5_2022;2;28/12/2022;1010;150;0;Nota CSV 6;Venta;Caja;Guayaquil Matriz
Nomina_diciembre_5_2022;2;28/12/2022;1180;0;150;Nota CSV 6;Venta;Caja;Guayaquil Matriz
