43065|040119729||18|E
48340|45242476||18|E
49565|45559468||18|E
49667|45559468||18|E
49770|45559468||18|E
49874|070264855||18|E
49877|0100027507||18|E
50510|100140979||18|E
50511|0100336379||18|E
50815|0000903313377||18|E
51419|0000903313377||18|E
51521|0100027507||18|E
48945|0000903313377||18|E
52586|0000004354||18|E
53227|45559468||18|E
53441|44380303||18|E
53644|45559468||18|E
53850|45559468||18|E
54762|45559468||18|E
54904|45559468||18|E
55620|0100168061||18|E
55930|45559468||18|E
49047|0100207919||18|E
49048|0000903313377||18|E
49051|0100001676||18|E
49052|0000903313377||18|E
49154|0000903313377||18|E
49258|45559468||18|E
49363|45559468||18|E
